column,pearson,spearman
mcp_lag1,0.8536132420091337,0.9565106420641694
rtp,0.7245997679942418,0.9081336746680455
mcp_lag6,0.5957127934857336,0.8726682161905294
mcp_lag12,0.45903570805903504,0.7949735506404745
cr_lower,-0.4719642780218258,-0.739030725571342
stem_price,0.34879733576813754,0.7230046899288294
reg_lower,-0.4806779155471959,-0.7126005776701754
sent_out_mwh,0.44809023445556906,0.6515635379655259
sent_out_mw,0.44809023445556906,0.6515635379655259
operational_demand_mw,0.4478694934916481,0.6503821291596664
stem_bid_mwh,0.3869709953543763,0.6492128371411697
scheduled_energy_mw,0.43326878804548125,0.6258908547963972
unscheduled_demand_mw,0.4302993644589459,0.6203533390900784
scada_mw,0.4295906052184216,0.6192154268249033
scada_mwh,0.4295906052184144,0.6192154253910649
residual_demand_mw,0.4086407914512239,0.5695008303721784
dpv_mw_30min,-0.2889474971774883,-0.31637225368857785
hour,0.12483868031420482,0.23504036166970635
year,0.08311382690853417,0.2288617313819025
stem_qty_mwh,0.12541267608336415,0.2223120388091988
dpv_mw,-0.2788353439662892,-0.21987943176065977
reg_raise,0.5400716439951849,0.18015994143815894
cr_raise,0.49086077003814066,0.14334007554348438
operational_withdrawal_mw,0.0359136716844925,0.11070043087046588
stem_offer_mwh,0.0706818408216154,0.09616280167211454
is_weekend,-0.0427219275951564,-0.05482104098775911
dow,-0.03459134477393514,-0.045162808079006966
month,-0.026088655341227875,-0.03774596421076177
rocof,-0.00038101728149278214,-0.023120140342309747
minute,-0.0022173043629348087,-0.001735228315709326
