,mcp,cr_raise,cr_lower,reg_raise,reg_lower,rocof,operational_demand_mw,unscheduled_demand_mw,operational_withdrawal_mw,dpv_mw,rtp,stem_price,stem_qty_mwh,stem_bid_mwh,stem_offer_mwh,sent_out_mwh,sent_out_mw,dpv_mw_30min,scada_mwh,scada_mw,scheduled_energy_mw,residual_demand_mw,mcp_lag1,mcp_lag6,mcp_lag12,hour,minute,dow,month,year,is_weekend
mcp,1.0,0.49086077003814066,-0.4719642780218258,0.5400716439951849,-0.4806779155471959,-0.00038101728149278214,0.4478694934916481,0.4302993644589459,0.0359136716844925,-0.2788353439662892,0.7245997679942418,0.34879733576813754,0.12541267608336415,0.3869709953543763,0.0706818408216154,0.44809023445556906,0.44809023445556906,-0.2889474971774883,0.4295906052184144,0.4295906052184216,0.43326878804548125,0.4086407914512239,0.8536132420091337,0.5957127934857336,0.45903570805903504,0.12483868031420482,-0.0022173043629348087,-0.03459134477393514,-0.026088655341227875,0.08311382690853417,-0.0427219275951564
cr_raise,0.49086077003814066,1.0,0.26986431116324067,0.9058937241230622,0.2847540127002719,-0.00040137168476332176,0.026542950323550342,0.042350099155511044,0.07406360592330154,0.02963696881539625,0.25411962735186944,-5.5850158077405294e-05,-0.07532037602724141,-0.031219279173727365,-0.12402153077054542,0.03421341508183204,0.03421341508183204,0.011157016402209667,0.04176052625487538,0.04176052625486976,0.043620137092834466,-0.0053606526145689596,0.37597355659622217,0.17382056745546046,0.08810234427571154,0.04093366336137868,-0.0021131722181788634,0.003331347102622098,0.034851222362606245,-0.17327101791483943,0.0011816877200006716
cr_lower,-0.4719642780218258,0.26986431116324067,1.0,0.26659364943417807,0.946774605495621,-0.00012799401720764748,-0.3698458719624813,-0.33865806143460847,0.04155283735898444,0.2992700059837288,-0.44160010019776647,-0.2964022278414352,-0.18110356397013833,-0.3548215364863968,-0.2269305635464547,-0.367344309695024,-0.367344309695024,0.2889734688871598,-0.3386345135126351,-0.33863451351264284,-0.3397000132776639,-0.3816703637099413,-0.43541303663447184,-0.39117971455321127,-0.35066506416177884,-0.05648827790787769,-0.0005315237048810838,0.04012335518887702,0.05936011615308524,-0.24048392286344833,0.04361466790061528
reg_raise,0.5400716439951849,0.9058937241230622,0.26659364943417807,1.0,0.2810190023409927,-0.0002701272836966804,0.0666504368066898,0.07720495705581691,0.06157124095459061,0.006259614439626643,0.2868859626886087,0.02780728259403623,-0.04789726350634177,0.02114860179980954,-0.08976597225912732,0.0726060122503231,0.0726060122503231,-0.007540209203092744,0.07672162591157022,0.07672162591156803,0.07869654622987356,0.030213216816633796,0.42393759284347454,0.20073825249046948,0.10703940375484265,0.04660601576373822,-0.002635651887531827,0.007690482749518708,0.01980569774832751,-0.12147129453940497,0.0036945496423884273
reg_lower,-0.4806779155471959,0.2847540127002719,0.946774605495621,0.2810190023409927,1.0,0.0006599279541602468,-0.3840494337837879,-0.34373876982178325,0.07698528983177462,0.31131722878758933,-0.4504944295001742,-0.30737375443207937,-0.20772602927972075,-0.38571833291778224,-0.2571711901066568,-0.38022931771991925,-0.38022931771991925,0.29601319955854943,-0.3436841051166527,-0.3436841051166578,-0.34530965652856044,-0.3966830610715698,-0.44605512046021073,-0.40049636536489963,-0.3600947725278338,-0.05763007924580101,-0.0009326284922710574,0.033414179539632764,0.05030695652763881,-0.2994964391916659,0.035501710889757475
rocof,-0.00038101728149278214,-0.00040137168476332176,-0.00012799401720764748,-0.0002701272836966804,0.0006599279541602468,1.0,-0.0038185254910323013,-0.003419901435009416,0.0007561555901898072,0.0034861445451031766,-0.00032456367443409217,-0.0005491718742105178,-0.0021270255454974253,-0.002957676440467065,-0.0010993801683679976,-0.0037807504210157243,-0.0037807504210157243,0.003638539811547313,-0.003416379975694472,-0.003416379975694316,-0.0033888948113248284,-0.004194534045717457,-0.00026191974059013056,-0.00028821814421929403,0.0001512735343091584,-0.00039435679064825943,0.0028944510835442845,-0.0009091206524075402,0.001866131213181927,-0.003410179265014432,-0.0011505346105272019
operational_demand_mw,0.4478694934916481,0.026542950323550342,-0.3698458719624813,0.0666504368066898,-0.3840494337837879,-0.0038185254910323013,1.0,0.9726683497421842,0.13099039813566687,-0.49504811766474444,0.47381722915059654,0.531592726032765,0.26893854898014474,0.8506069610677175,0.36858664561923105,0.9858954571505275,0.9858954571505275,-0.5161004473826806,0.9723204679934633,0.9723204679934956,0.9722481468405842,0.8306923034183995,0.44888688744791055,0.44689130631427015,0.42894874900568314,0.3463278626808935,-0.002237589986114721,-0.10330453288692873,-0.20221913781888703,0.19783293103251628,-0.1361158872642917
unscheduled_demand_mw,0.4302993644589459,0.042350099155511044,-0.33865806143460847,0.07720495705581691,-0.34373876982178325,-0.003419901435009416,0.9726683497421842,1.0,0.3576083024238515,-0.5627533596153178,0.45967569577412143,0.5164690535751055,0.197019878683616,0.8145603580857194,0.29318809133038093,0.9659187523649698,0.9659187523649698,-0.5804837475330933,0.9997248243067541,0.9997248243068023,0.9985585064505974,0.8600415024324202,0.43120193686633884,0.428660089892867,0.4125055325905158,0.3456885852635677,-0.00186595911498301,-0.09874529416593074,-0.18194995017439652,0.08544541266562923,-0.12929535604072226
operational_withdrawal_mw,0.0359136716844925,0.07406360592330154,0.04155283735898444,0.06157124095459061,0.07698528983177462,0.0007561555901898072,0.13099039813566687,0.3576083024238515,1.0,-0.4116966351133033,0.05697693969747866,0.06709589407970998,-0.24044828460858836,0.056779229041679403,-0.2306245683339322,0.15577521742387668,0.15577521742387668,-0.42903298755844094,0.35783255954270765,0.3578325595426917,0.3531437766577575,0.33106175781349645,0.03567628928344815,0.03285475920361891,0.036052198860207024,0.08305050455135983,0.00103247374758512,-0.006121005992254518,0.03645379334435493,-0.430843665831648,-0.004593172908597609
dpv_mw,-0.2788353439662892,0.02963696881539625,0.2992700059837288,0.006259614439626643,0.31131722878758933,0.0034861445451031766,-0.49504811766474444,-0.5627533596153178,-0.4116966351133033,1.0,-0.2817096737777815,-0.3458872915884224,-0.07672395243516686,-0.4254705461824312,-0.16578008817645995,-0.46147704238280035,-0.46147704238280035,0.9408861877575498,-0.565314536892046,-0.5653145368920531,-0.5603224799913007,-0.8949577482221489,-0.2820996602948976,-0.2899375597941852,-0.2889993779449634,0.05079330136796993,-0.00013058525921645715,-0.006005907102088769,0.028033331165445034,-0.022918801573605638,-0.006130511068856577
