,mutual_info
mcp_lag1,2.7411525974025945
rtp,1.2622966494075412
mcp_lag6,1.2474690772514636
reg_lower,0.9873969250611205
mcp_lag12,0.902904946170537
cr_lower,0.9020816516674106
stem_price,0.5860891550106349
year,0.4155826887964702
sent_out_mwh,0.41375425118958997
sent_out_mw,0.4135909868809087
stem_bid_mwh,0.4131056892000169
month,0.39529234657991985
cr_raise,0.36653959431587335
operational_demand_mw,0.35710548631021677
scheduled_energy_mw,0.3273576411812966
scada_mw,0.3255744026669758
scada_mwh,0.32554389068695766
unscheduled_demand_mw,0.3253775771376599
reg_raise,0.31718195946887295
residual_demand_mw,0.30956095376622983
dpv_mw_30min,0.25318277026750824
dpv_mw,0.2512292736488009
hour,0.24063162242046854
stem_offer_mwh,0.20891260777369514
stem_qty_mwh,0.1727864260022871
operational_withdrawal_mw,0.13635978184814057
dow,0.05394049286208924
is_weekend,0.02093603499655483
rocof,0.0
minute,0.0
