column,dtype,n,n_missing,missing_pct,n_unique,mean,std,min,p01,median,p99,max,skew,zero_pct,negative_pct
interval_end,datetime64[us],302964,0,0.0,302964,,,,,,,,,,
mcp,float64,302964,0,0.0,20820,88.967998871153,112.92078879151539,-1000.0,-61.22,91.01,738.0,1100.0,1.057518883212644,0.6235064232053974,12.922327405236267
cr_raise,float64,302964,0,0.0,14639,30.057987186596424,129.0954031894109,0.0,0.0,0.0,569.7335999999987,2400.0,10.140440249569515,55.387108699383425,0.0
cr_lower,float64,302964,0,0.0,13191,22.140833696412773,70.0228453637481,0.0,0.0,0.0,186.88109999999986,2038.0,13.331437658310861,63.113109148281644,0.0
reg_raise,float64,302964,0,0.0,9166,16.603046797639323,107.18276987027826,0.0,0.0,0.0,500.0,2400.0,12.089808103809805,68.08762757291295,0.0
reg_lower,float64,302964,0,0.0,15789,27.83356798167439,76.20354056962634,0.0,0.0,1.06,207.88,2038.0,11.751677812286003,45.240688662679396,0.0
rocof,float64,302964,0,0.0,3,0.0009936824177129956,0.5450367195001484,0.0,0.0,0.0,0.0,300.0,550.4215602614752,99.96501234470102,0.0
operational_demand_mw,float64,302964,0,0.0,152908,2088.002652394344,524.9531935546771,508.92,929.6493,2037.1149999999998,3584.046199999999,4481.82,0.4007893731728315,0.0,0.0
unscheduled_demand_mw,float64,302964,0,0.0,156970,2009.7105817522872,557.2821528222313,353.95,756.6726,1958.705,3553.9111,4479.21,0.297993192378596,0.0,0.0
operational_withdrawal_mw,float64,302964,0,0.0,44159,-78.29207688042143,130.52489421396515,-1158.46,-606.3211,-12.55,-1.66,-0.38,-2.529263628618784,0.0,100.0
dpv_mw,float64,302964,1,0.00033007221980169263,106369,487.4881248205227,655.0667410425552,0.0,0.04,9.2,2039.0614,2321.21,1.0099256582505478,0.007921733275240622,0.0
trading_interval_end,datetime64[us],302964,0,0.0,50497,,,,,,,,,,
rtp,float64,302964,5,0.0016503610990084632,17736,88.95977567921732,101.04994130324141,-1000.0,-61.46,90.42,536.09,1100.0,0.4617643889688151,0.06337386620192498,11.31619598368123
stem_price,float64,302964,0,0.0,11692,92.1824720758902,63.43951965732906,-1000.0,-43.51,90.2,281.52,738.0,-2.5471030264993715,1.6001901215986059,2.1976208394396695
stem_qty_mwh,float64,302964,0,0.0,38363,67.54278868446417,49.065133429650814,0.691,3.3672600000000004,55.153,234.871,646.322,1.9723002934038605,0.0,0.0
stem_bid_mwh,float64,302964,0,0.0,49234,956.7535204050646,279.71813207239177,261.789,456.72647,919.623,1722.948749999999,2116.139,0.5728232253769431,0.0,0.0
stem_offer_mwh,float64,302964,0,0.0,49043,2339.300878180246,250.6563121416604,1668.981,1831.87823,2339.298,2922.1287599999996,3027.566,0.245904528516548,0.0,0.0
sent_out_mwh,float64,302964,8645,2.853474340185633,49056,1040.2254329331754,262.08315096957244,260.83239123,463.6449694094,1014.07849041,1794.66948651,2234.13687579,0.4159105922240526,0.0,0.0
sent_out_mw,float64,302964,8645,2.853474340185633,49056,2080.450865866351,524.1663019391449,521.66478246,927.2899388188,2028.15698082,3589.33897302,4468.27375158,0.4159105922240526,0.0,0.0
dpv_mw_30min,float64,302964,15557,5.134933523454932,26969,499.291227983676,708.3923912234537,0.0,0.0,2.763246,2314.18,2643.06,1.140695630009539,38.57851097820203,0.0
scada_mwh,float64,302964,0,0.0,157304,167.52318711464068,46.43117877994303,31.923,63.06326,163.263,296.2267699999999,373.641,0.2980892398567259,0.0,0.0
scada_mw,float64,302964,0,0.0,155347,2010.2782453756884,557.1741453593164,383.07599999999996,756.7591199999999,1959.156,3554.7212399999985,4483.692,0.29808923985672475,0.0,0.0
scheduled_energy_mw,float64,302964,0,0.0,168625,2012.2166550811316,557.0556975214397,379.53000000000003,763.5652,1959.7849999999999,3566.5332999999996,4484.17,0.31626239613757473,0.0,0.0
residual_demand_mw,float64,302964,1,0.00033007221980169263,222551,1600.5145567940638,1022.3323525194445,-1645.4500000000003,-971.1746000000002,1887.67,3407.7958000000017,4405.86,-0.8018726207252117,0.0,10.954766902998376
mcp_lag1,float64,302964,1,0.00033007221980169263,20820,88.96774295871114,112.92088729679274,-1000.0,-61.22,91.01,738.0,1100.0,1.0575253368217632,0.6235064232053974,12.922327405236267
mcp_lag6,float64,302964,6,0.0019804333188101556,20819,88.96647046785364,112.92138047802042,-1000.0,-61.22,91.01,738.0,1100.0,1.0575573301104835,0.6235064232053974,12.922327405236267
mcp_lag12,float64,302964,12,0.003960866637620311,20819,88.96512523436056,112.92206606821298,-1000.0,-61.22,91.01,738.0,1100.0,1.0575894106239472,0.6235064232053974,12.922327405236267
hour,int32,302964,0,0.0,24,11.499953789889227,6.92231527636096,0.0,0.0,11.0,23.0,23.0,1.6469296350272726e-05,4.166831702776568,0.0
minute,int32,302964,0,0.0,12,27.49998349638901,17.260272010115493,0.0,0.0,27.5,55.0,55.0,-1.4844103322020114e-06,8.333663405553136,0.0
dow,int32,302964,0,0.0,7,2.998438758400338,2.002006055468228,0.0,0.0,3.0,6.0,6.0,0.0009676617400004812,14.354180694736007,0.0
month,int32,302964,0,0.0,12,6.430889478617922,3.4896388525531044,1.0,1.0,6.0,12.0,12.0,0.05777981345262828,0.0,0.0
year,int32,302964,0,0.0,4,2024.6958186451195,0.906602613261109,2023.0,2023.0,2025.0,2026.0,2026.0,-0.06552685621821355,0.0,0.0
is_weekend,bool,302964,0,0.0,2,0.28581613657068167,0.4518029951312116,0.0,0.0,0.0,1.0,1.0,0.9481357125546022,71.41838634293184,0.0
