,mcp,cr_raise,cr_lower,reg_raise,reg_lower,rocof,operational_demand_mw,unscheduled_demand_mw,operational_withdrawal_mw,dpv_mw,rtp,stem_price,stem_qty_mwh,stem_bid_mwh,stem_offer_mwh,sent_out_mwh,sent_out_mw,dpv_mw_30min,scada_mwh,scada_mw,scheduled_energy_mw,residual_demand_mw,mcp_lag1,mcp_lag6,mcp_lag12,hour,minute,dow,month,year,is_weekend
mcp,1.0,0.14334007554348438,-0.739030725571342,0.18015994143815894,-0.7126005776701754,-0.023120140342309747,0.6503821291596664,0.6203533390900784,0.11070043087046588,-0.21987943176065977,0.9081336746680455,0.7230046899288294,0.2223120388091988,0.6492128371411697,0.09616280167211454,0.6515635379655259,0.6515635379655259,-0.31637225368857785,0.6192154253910649,0.6192154268249033,0.6258908547963972,0.5695008303721784,0.9565106420641694,0.8726682161905294,0.7949735506404745,0.23504036166970635,-0.001735228315709326,-0.045162808079006966,-0.03774596421076177,0.2288617313819025,-0.05482104098775911
cr_raise,0.14334007554348438,1.0,0.025305223870366145,0.6730167935957395,0.08703500482782543,0.023953065521020347,-0.004125544994246008,0.031966923803349326,0.12714311489300914,0.07932162049856283,0.10314225128150724,-0.04855106193272053,-0.1387182337063064,-0.12101411852417471,-0.1960248451503699,0.007657748837381876,0.007657748837381876,-0.02198889869820568,0.03128705276052384,0.03128705414393215,0.03198442940945631,-0.029954402433839594,0.11955941838524495,0.07167514788997571,0.028463378178094405,0.05116504186771748,-0.003119210914739275,-0.02146100114204753,-0.00575775580499348,-0.23314822891409717,-0.016949057623861254
cr_lower,-0.739030725571342,0.025305223870366145,1.0,-0.01130014292557378,0.8062083500522068,0.030211162788817462,-0.5522427528280769,-0.5323757760219013,-0.05771401000484803,0.25830305956246025,-0.6831530093097232,-0.5645800838218294,-0.2643406088407375,-0.6034847563043839,-0.23482618913236963,-0.5476138787447472,-0.5476138787447472,0.2783373650824226,-0.5328372195509661,-0.532837219920912,-0.5365974415496823,-0.4901348334491594,-0.7144335990436211,-0.6754360629748504,-0.6378011906203878,-0.17972947252659255,0.0008757097805440596,0.03791569553397408,0.08686076021123842,-0.3519942660583416,0.050204916228631644
reg_raise,0.18015994143815894,0.6730167935957395,-0.01130014292557378,1.0,0.02206135852540132,0.01858112537908263,0.0717986086077149,0.10008365386336196,0.11217103204285887,0.11653088508438929,0.1375386969466231,-0.018925165905943904,-0.11267135167215314,-0.007527541206765035,-0.15131077126493506,0.07974941530447456,0.07974941530447456,0.03544435346102699,0.09972503368121972,0.09972503431663131,0.10115090985540968,0.03249575487854991,0.15167372250104885,0.09975866600384467,0.05579419618998757,0.05986673905100565,-0.0014006979386099708,-0.009918696384086698,-0.05072975979142892,-0.12949169467164645,-0.010078586194168253
reg_lower,-0.7126005776701754,0.08703500482782543,0.8062083500522068,0.02206135852540132,1.0,0.026934014470808794,-0.5323642456907124,-0.47222277877617963,0.11278825805897884,0.25970364740195034,-0.6652373274610914,-0.5424463462915516,-0.36676022370800077,-0.6661289056097743,-0.362280701250737,-0.5240751952034771,-0.5240751952034771,0.22151235384958579,-0.47265620226574145,-0.47265620464170094,-0.47775864609461266,-0.4808336566221201,-0.6899608985226757,-0.6530633936974877,-0.6186670778814655,-0.14060353691376332,0.0007270730283425499,0.028850230026710694,0.03279739451335967,-0.5760720150442064,0.03162899482996903
rocof,-0.023120140342309747,0.023953065521020347,0.030211162788817462,0.01858112537908263,0.026934014470808794,1.0,-0.02248767064554216,-0.019919758558495086,0.015741154840671335,0.02200553355044101,-0.022158095782851463,-0.02052686350290642,0.0005623884188061953,-0.025475674627839996,-0.01595605475832828,-0.021332545568251603,-0.021332545568251603,0.023156833415343452,-0.020021447614416567,-0.020021445596411582,-0.019915870661675605,-0.023704321459933283,-0.02340857628965242,-0.024444464656530357,-0.023253692927404822,-0.0020392470435676817,-0.00020440481298768018,-0.008970588910030946,0.02284332298566941,-0.030952308837480676,-0.0036316363493508214
operational_demand_mw,0.6503821291596664,-0.004125544994246008,-0.5522427528280769,0.0717986086077149,-0.5323642456907124,-0.02248767064554216,1.0,0.9645927039287474,0.22361479225024603,-0.29150878298414906,0.6328980984589881,0.6752568716122112,0.2999771330874067,0.8439036284631978,0.3771135144295673,0.9818951731073609,0.9818951731073609,-0.41498819555604494,0.9641054432824253,0.9641054434935546,0.9638922142059085,0.8500979007757017,0.6514211442937154,0.6491141651703908,0.6246041218626674,0.38493042169896957,-0.003193215517432461,-0.09429359141794466,-0.18800447419642444,0.2092395543027904,-0.13097680181947982
unscheduled_demand_mw,0.6203533390900784,0.031966923803349326,-0.5323757760219013,0.10008365386336196,-0.47222277877617963,-0.019919758558495086,0.9645927039287474,1.0,0.3941319332968136,-0.3477999057030567,0.6081376814383256,0.6563312742173429,0.22245452536570648,0.7978720725911753,0.30014470658186393,0.9558981269894138,0.9558981269894138,-0.4778155535549865,0.9996123797096165,0.9996123797682562,0.9979828382374735,0.8709183430521099,0.6222848825150133,0.6209367524397797,0.5990662743622193,0.3951781091936052,-0.003404697814858877,-0.08583222766800397,-0.16775686498427572,0.09047429120268434,-0.11882471222085525
operational_withdrawal_mw,0.11070043087046588,0.12714311489300914,-0.05771401000484803,0.11217103204285887,0.11278825805897884,0.015741154840671335,0.22361479225024603,0.3941319332968136,1.0,-0.2608019094295418,0.12319588602966021,0.18677798597928866,-0.18841462455330188,0.09390154302276285,-0.19793260073313385,0.24399695169819607,0.24399695169819607,-0.4018753766587645,0.39389921145266776,0.39389921270176786,0.3873052707652592,0.3419649143812264,0.10919531568135152,0.10613733846526273,0.10223274037718999,0.1814170377784684,-0.0015589894589537585,-0.005278168978528633,0.032749386799639235,-0.47521533667128685,-0.005654878796256228
dpv_mw,-0.21987943176065977,0.07932162049856283,0.25830305956246025,0.11653088508438929,0.25970364740195034,0.02200553355044101,-0.29150878298414906,-0.3477999057030567,-0.2608019094295418,1.0,-0.2010724390841822,-0.26816482292803717,-0.06881469815252912,-0.26981821019177116,-0.1502931199892923,-0.265152993876755,-0.265152993876755,0.8518986710120999,-0.3504253712762645,-0.35042537204816593,-0.34676058187407316,-0.6317197974434091,-0.22429883611561408,-0.24351341690361863,-0.2624599927997179,0.16246627111059828,-0.00026438542703416314,-0.004083987462621302,0.006816859469860559,-0.033598463439964504,-0.004696710731916026
